"","L","R"
"117","Stearic acid","ADORA2A"
"118","Stearic acid","FFAR4"
"119","Stearic acid","RORB"
"120","Stearic acid","AR"
"121","Arachidonic acid","CNTN1"
"122","Arachidonic acid","F3"
"123","Arachidonic acid","PPARG"
"124","Arachidonic acid","TRPC7"
"125","Arachidonic acid","TRPM2"
"126","Arachidonic acid","TRPM5"
"127","Arachidonic acid","TRPV4"
"128","Arachidonic acid","PPARA"
"129","Arachidonic acid","KDR"
"130","Arachidonic acid","ABCB4"
"131","Arachidonic acid","TNFRSF21"
"132","Arachidonic acid","CD36"
"133","Arachidonic acid","ABCA1"
"134","Arachidonic acid","RXRA"
"135","Arachidonic acid","NR1H4"
"136","Palmitic acid","PPARG"
"137","Palmitic acid","BDKRB1"
"138","Palmitic acid","PROKR2"
"139","Palmitic acid","MLNR"
"140","Palmitic acid","GNRHR"
"141","Palmitic acid","KISS1R"
"142","Palmitic acid","GHSR"
"143","Palmitic acid","FFAR1"
"144","Palmitic acid","MCHR1"
"145","Palmitic acid","NMUR2"
"146","Palmitic acid","NMBR"
"147","Palmitic acid","HTR2B"
"148","Palmitic acid","TLR2"
"149","Palmitic acid","ROR1"
"150","Palmitic acid","SCARB1"
"151","Palmitic acid","PPARA"
"152","Palmitic acid","SCARB2"
"153","Palmitic acid","ABCB4"
"154","Palmitic acid","GPR65"
"155","Palmitic acid","ITGAX"
"156","Palmitic acid","AGTR1"
"157","Palmitic acid","HTR2C"
"158","Palmitic acid","TNFRSF10B"
"159","Palmitic acid","NPFFR1"
"160","Palmitic acid","MCHR2"
"161","Palmitic acid","PTGER1"
"162","Palmitic acid","CCKAR"
"163","Palmitic acid","TNFRSF21"
"164","Palmitic acid","AVPR1A"
"165","Palmitic acid","CLEC4E"
"166","Palmitic acid","NTSR2"
"167","Palmitic acid","PROKR1"
"168","Palmitic acid","NMUR1"
"169","Palmitic acid","ADRA1B"
"170","Palmitic acid","LTB4R"
"171","Palmitic acid","NPFFR2"
"172","Palmitic acid","CD36"
"173","Palmitic acid","TRHR"
"174","Palmitic acid","EDNRA"
"175","Palmitic acid","MUSK"
"176","Palmitic acid","UTS2R"
"177","Palmitic acid","OXTR"
"178","Palmitic acid","CCKBR"
"179","Palmitic acid","RIPK2"
"180","Palmitic acid","LPAR1"
"181","Palmitic acid","NPSR1"
"182","Palmitic acid","NR4A1"
"183","Palmitic acid","CD1D"
"184","Palmitic acid","NTSR1"
"185","Palmitic acid","LPAR3"
"186","Palmitic acid","PTGFR"
"187","Palmitic acid","HCRTR2"
"188","Palmitic acid","FFAR4"
"189","Palmitic acid","GLP1R"
"190","Palmitic acid","HCRTR1"
"191","Palmitic acid","TLR4"
"192","Palmitic acid","ABCA1"
"193","Palmitic acid","EDNRB"
"194","Palmitic acid","HTR2A"
"195","Palmitic acid","ADRA1A"
"196","Palmitic acid","ADRA1D"
"197","Palmitic acid","GRPR"
"198","Palmitic acid","QRFPR"
"199","Palmitic acid","HNF4G"
"200","Palmitic acid","GCGR"
"201","Palmitic acid","LPAR2"
"202","Palmitic acid","TBXA2R"
"203","Palmitic acid","RXRA"
"204","Palmitic acid","LTB4R2"
"205","Cholic acid","GPBAR1"
"206","Cholic acid","VDR"
"207","Cholic acid","NR1H4"
"208","Cholic acid","NR0B2"
"209","Cholic acid","HNF4A"
"210","Cholic acid","THBS1"
"211","Cholic acid","SCARB1"
"212","Cholic acid","CDH1"
"213","Cholic acid","PPARA"
"214","Cholic acid","ABCB11"
"215","Cholic acid","ABCB4"
"216","Cholic acid","EGFR"
"217","Cholic acid","TNFRSF10B"
"218","Cholic acid","ABCC3"
"219","Cholic acid","NR1I2"
"220","Cholic acid","CAV1"
"221","Cholic acid","FAS"
"222","Cholic acid","ESRRB"
"223","Cholic acid","ESRRG"
"224","Caproic acid","FFAR2"
"225","Acetaldehyde","ESR1"
"226","Acetaldehyde","FCGRT"
"227","Acetaldehyde","TRAF2"
"228","Acetaldehyde","LRP6"
"229","Acetaldehyde","TRPA1"
"230","Acetaldehyde","HPN"
"231","Acetaldehyde","PPARA"
"232","Acetaldehyde","NOTCH1"
"233","Acetaldehyde","ITGA1"
"234","Acetaldehyde","PPARG"
"235","Acetaldehyde","ESR2"
"236","Acetaldehyde","HLA-DRB1"
"237","Acetaldehyde","DDR2"
"238","Acetaldehyde","IGLL5"
"239","Acetaldehyde","ITGAM"
"240","L-Kynurenine","AHR"
"241","L-Kynurenine","CDH1"
"242","L-Kynurenine","HLA-G"
"243","Formic acid","ABCG1"
"244","Formic acid","ESR1"
"245","Formic acid","PANX1"
"246","Formic acid","FFAR2"
"247","Formic acid","FFAR1"
"248","Formic acid","TLR2"
"249","Formic acid","PPARA"
"250","Formic acid","NECTIN1"
"251","Formic acid","ICAM1"
"252","Formic acid","GPR84"
"253","Formic acid","ERBB2"
"254","Formic acid","EGFR"
"255","Formic acid","ST14"
"256","Formic acid","APP"
"257","Formic acid","PPARG"
"258","Formic acid","CLEC4E"
"259","Formic acid","CD36"
"260","Formic acid","HNF4A"
"261","Formic acid","FFAR3"
"262","Formic acid","RIPK2"
"263","Formic acid","RET"
"264","Formic acid","JAML"
"265","Formic acid","HLA-DRB1"
"266","Formic acid","TFRC"
"267","Formic acid","FFAR4"
"268","Formic acid","TLR4"
"269","Formic acid","ABCA1"
"270","Formic acid","THBD"
"271","Formic acid","UNC13B"
"272","Formic acid","PDCD1LG2"
"273","Formic acid","TRPV1"
"274","Formic acid","IGLL5"
"275","Formic acid","NR1H4"
"276","Homocysteine","CCR2"
"277","Homocysteine","VCAM1"
"278","Homocysteine","GRIN2A"
"279","Homocysteine","F3"
"280","Homocysteine","ANXA2"
"281","Homocysteine","GRIN1"
"282","Homocysteine","HCAR2"
"283","Homocysteine","ITPR1"
"284","Sorbitol","TLR4"
"285","Galactitol","TLR4"
"286","Androsterone","GPBAR1"
"287","Androsterone","NR0B2"
"288","Androsterone","NR1H4"
"289","Prostaglandin F2a","PTGFR"
"290","Prostaglandin D2","PTGDR"
"291","Prostaglandin D2","PTGDR2"
"292","5-Aminolevulinic acid","GABRR1"
"293","5-Aminolevulinic acid","GPR17"
"294","D-Tryptophan","ERAP1"
"295","D-Tryptophan","CHRM1"
"296","D-Tryptophan","TAS1R3"
"297","D-Tryptophan","TAS1R2"
"298","D-Tryptophan","ERAP2"
"299","D-Tryptophan","CHRM4"
"300","L-Alloisoleucine","APLP2"
"301","L-Alloisoleucine","APP"
"302","L-Alloisoleucine","PVR"
"303","13-cis-Retinoic acid","ABCC4"
"304","13-cis-Retinoic acid","ABCC3"
"305","13-cis-Retinoic acid","GPRC5A"
"306","13-cis-Retinoic acid","CD79A"
"307","13-cis-Retinoic acid","CD38"
"308","13-cis-Retinoic acid","HBEGF"
"309","13-cis-Retinoic acid","NR3C1"
"310","13-cis-Retinoic acid","IGFBP5"
"311","13-cis-Retinoic acid","NR1H2"
"312","13-cis-Retinoic acid","RARA"
"313","13-cis-Retinoic acid","NR0B2"
"314","13-cis-Retinoic acid","TLR2"
"315","13-cis-Retinoic acid","THBS1"
"316","13-cis-Retinoic acid","RORA"
"317","13-cis-Retinoic acid","SCARB1"
"318","13-cis-Retinoic acid","CDH1"
"319","13-cis-Retinoic acid","BMPR1B"
"320","13-cis-Retinoic acid","ICAM1"
"321","13-cis-Retinoic acid","SCARB2"
"322","13-cis-Retinoic acid","IDE"
"323","13-cis-Retinoic acid","ITGAX"
"324","13-cis-Retinoic acid","NCOR1"
"325","13-cis-Retinoic acid","EGFR"
"326","13-cis-Retinoic acid","NTRK2"
"327","13-cis-Retinoic acid","CYSLTR2"
"328","13-cis-Retinoic acid","GJA1"
"329","13-cis-Retinoic acid","PPARG"
"330","13-cis-Retinoic acid","KIT"
"331","13-cis-Retinoic acid","VCAM1"
"332","13-cis-Retinoic acid","CCR1"
"333","13-cis-Retinoic acid","TLR3"
"334","13-cis-Retinoic acid","ANPEP"
"335","13-cis-Retinoic acid","P2RY1"
"336","13-cis-Retinoic acid","CD36"
"337","13-cis-Retinoic acid","P2RY2"
"338","13-cis-Retinoic acid","NR2F1"
"339","13-cis-Retinoic acid","RORC"
"340","13-cis-Retinoic acid","LEPR"
"341","13-cis-Retinoic acid","RARB"
"342","13-cis-Retinoic acid","NR1I2"
"343","13-cis-Retinoic acid","RPSA"
"344","13-cis-Retinoic acid","RET"
"345","13-cis-Retinoic acid","ADAM15"
"346","13-cis-Retinoic acid","CCR9"
"347","13-cis-Retinoic acid","RXRG"
"348","13-cis-Retinoic acid","TFRC"
"349","13-cis-Retinoic acid","SPN"
"350","13-cis-Retinoic acid","GJB1"
"351","13-cis-Retinoic acid","NR1I3"
"352","13-cis-Retinoic acid","IL6R"
"353","13-cis-Retinoic acid","CD40"
"354","13-cis-Retinoic acid","RXRB"
"355","13-cis-Retinoic acid","AR"
"356","13-cis-Retinoic acid","ABCA1"
"357","13-cis-Retinoic acid","RORB"
"358","13-cis-Retinoic acid","THBD"
"359","13-cis-Retinoic acid","CUBN"
"360","13-cis-Retinoic acid","NR0B1"
"361","13-cis-Retinoic acid","TRPC3"
"362","13-cis-Retinoic acid","IGFBP3"
"363","13-cis-Retinoic acid","ALK"
"364","13-cis-Retinoic acid","NR2F2"
"365","13-cis-Retinoic acid","RARG"
"366","13-cis-Retinoic acid","NR1H3"
"367","13-cis-Retinoic acid","RXRA"
"368","13-cis-Retinoic acid","NR6A1"
"369","13-cis-Retinoic acid","ITGAM"
"370","13-cis-Retinoic acid","NR1H4"
"371","13-cis-Retinoic acid","VDR"
"372","9-cis-Retinoic acid","RXRB"
"373","9-cis-Retinoic acid","RARB"
"374","9-cis-Retinoic acid","RXRA"
"375","9-cis-Retinoic acid","RARA"
"376","9-cis-Retinoic acid","RARG"
"377","9-cis-Retinoic acid","RXRG"
"378","9-cis-Retinoic acid","NR1H3"
"379","9-cis-Retinoic acid","GPRC5A"
"380","9-cis-Retinoic acid","CD79A"
"381","9-cis-Retinoic acid","CD38"
"382","9-cis-Retinoic acid","HBEGF"
"383","9-cis-Retinoic acid","NR3C1"
"384","9-cis-Retinoic acid","IGFBP5"
"385","9-cis-Retinoic acid","NR1H2"
"386","9-cis-Retinoic acid","NR0B2"
"387","9-cis-Retinoic acid","TLR2"
"388","9-cis-Retinoic acid","THBS1"
"389","9-cis-Retinoic acid","RORA"
"390","9-cis-Retinoic acid","SCARB1"
"391","9-cis-Retinoic acid","CDH1"
"392","9-cis-Retinoic acid","BMPR1B"
"393","9-cis-Retinoic acid","ICAM1"
"394","9-cis-Retinoic acid","SCARB2"
"395","9-cis-Retinoic acid","IDE"
"396","9-cis-Retinoic acid","ITGAX"
"397","9-cis-Retinoic acid","NCOR1"
"398","9-cis-Retinoic acid","EGFR"
"399","9-cis-Retinoic acid","NTRK2"
"400","9-cis-Retinoic acid","CYSLTR2"
"401","9-cis-Retinoic acid","GJA1"
"402","9-cis-Retinoic acid","PPARG"
"403","9-cis-Retinoic acid","KIT"
"404","9-cis-Retinoic acid","VCAM1"
"405","9-cis-Retinoic acid","CCR1"
"406","9-cis-Retinoic acid","TLR3"
"407","9-cis-Retinoic acid","ANPEP"
"408","9-cis-Retinoic acid","P2RY1"
"409","9-cis-Retinoic acid","CD36"
"410","9-cis-Retinoic acid","P2RY2"
"411","9-cis-Retinoic acid","NR2F1"
"412","9-cis-Retinoic acid","RORC"
"413","9-cis-Retinoic acid","LEPR"
"414","9-cis-Retinoic acid","NR1I2"
"415","9-cis-Retinoic acid","RPSA"
"416","9-cis-Retinoic acid","RET"
"417","9-cis-Retinoic acid","ADAM15"
"418","9-cis-Retinoic acid","CCR9"
"419","9-cis-Retinoic acid","TFRC"
"420","9-cis-Retinoic acid","SPN"
"421","9-cis-Retinoic acid","GJB1"
"422","9-cis-Retinoic acid","NR1I3"
"423","9-cis-Retinoic acid","IL6R"
"424","9-cis-Retinoic acid","CD40"
"425","9-cis-Retinoic acid","AR"
"426","9-cis-Retinoic acid","ABCA1"
"427","9-cis-Retinoic acid","RORB"
"428","9-cis-Retinoic acid","THBD"
"429","9-cis-Retinoic acid","CUBN"
"430","9-cis-Retinoic acid","NR0B1"
"431","9-cis-Retinoic acid","TRPC3"
"432","9-cis-Retinoic acid","IGFBP3"
"433","9-cis-Retinoic acid","ALK"
"434","9-cis-Retinoic acid","NR2F2"
"435","9-cis-Retinoic acid","NR6A1"
"436","9-cis-Retinoic acid","ITGAM"
"437","9-cis-Retinoic acid","NR1H4"
"438","9-cis-Retinoic acid","VDR"
"439","9-cis-Retinoic acid","GRIN1"
"440","9-cis-Retinoic acid","HNF4A"
"441","9-cis-Retinoic acid","ITGAV"
"442","9-cis-Retinoic acid","ITGB1"
"443","9-cis-Retinoic acid","NCOA3"
"444","9-cis-Retinoic acid","NR4A1"
"445","9-cis-Retinoic acid","THRB"
"446","all-trans-Retinoic acid","RXRA"
"447","all-trans-Retinoic acid","S1PR1"
"448","all-trans-Retinoic acid","RARB"
"449","all-trans-Retinoic acid","RARA"
"450","all-trans-Retinoic acid","RARG"
"451","all-trans-Retinoic acid","RXRB"
"452","all-trans-Retinoic acid","RXRG"
"453","all-trans-Retinoic acid","RORB"
"454","all-trans-Retinoic acid","ROR1"
"455","all-trans-Retinoic acid","ROR2"
"456","all-trans-Retinoic acid","RORA"
"457","all-trans-Retinoic acid","ABCC4"
"458","all-trans-Retinoic acid","ABCC3"
"459","all-trans-Retinoic acid","GPRC5A"
"460","all-trans-Retinoic acid","CD79A"
"461","all-trans-Retinoic acid","CD38"
"462","all-trans-Retinoic acid","HBEGF"
"463","all-trans-Retinoic acid","NR3C1"
"464","all-trans-Retinoic acid","IGFBP5"
"465","all-trans-Retinoic acid","NR1H2"
"466","all-trans-Retinoic acid","NR0B2"
"467","all-trans-Retinoic acid","TLR2"
"468","all-trans-Retinoic acid","THBS1"
"469","all-trans-Retinoic acid","SCARB1"
"470","all-trans-Retinoic acid","CDH1"
"471","all-trans-Retinoic acid","BMPR1B"
"472","all-trans-Retinoic acid","ICAM1"
"473","all-trans-Retinoic acid","SCARB2"
"474","all-trans-Retinoic acid","IDE"
"475","all-trans-Retinoic acid","ITGAX"
"476","all-trans-Retinoic acid","NCOR1"
"477","all-trans-Retinoic acid","EGFR"
"478","all-trans-Retinoic acid","NTRK2"
"479","all-trans-Retinoic acid","CYSLTR2"
"480","all-trans-Retinoic acid","GJA1"
"481","all-trans-Retinoic acid","PPARG"
"482","all-trans-Retinoic acid","KIT"
"483","all-trans-Retinoic acid","VCAM1"
"484","all-trans-Retinoic acid","CCR1"
"485","all-trans-Retinoic acid","TLR3"
"486","all-trans-Retinoic acid","ANPEP"
"487","all-trans-Retinoic acid","P2RY1"
"488","all-trans-Retinoic acid","CD36"
"489","all-trans-Retinoic acid","P2RY2"
"490","all-trans-Retinoic acid","NR2F1"
"491","all-trans-Retinoic acid","RORC"
"492","all-trans-Retinoic acid","LEPR"
"493","all-trans-Retinoic acid","NR1I2"
"494","all-trans-Retinoic acid","RPSA"
"495","all-trans-Retinoic acid","RET"
"496","all-trans-Retinoic acid","ADAM15"
"497","all-trans-Retinoic acid","CCR9"
"498","all-trans-Retinoic acid","TFRC"
"499","all-trans-Retinoic acid","SPN"
"500","all-trans-Retinoic acid","GJB1"
"501","all-trans-Retinoic acid","NR1I3"
"502","all-trans-Retinoic acid","IL6R"
"503","all-trans-Retinoic acid","CD40"
"504","all-trans-Retinoic acid","AR"
"505","all-trans-Retinoic acid","ABCA1"
"506","all-trans-Retinoic acid","THBD"
"507","all-trans-Retinoic acid","CUBN"
"508","all-trans-Retinoic acid","NR0B1"
"509","all-trans-Retinoic acid","TRPC3"
"510","all-trans-Retinoic acid","IGFBP3"
"511","all-trans-Retinoic acid","ALK"
"512","all-trans-Retinoic acid","NR2F2"
"513","all-trans-Retinoic acid","NR1H3"
"514","all-trans-Retinoic acid","NR6A1"
"515","all-trans-Retinoic acid","ITGAM"
"516","all-trans-Retinoic acid","NR1H4"
"517","all-trans-Retinoic acid","VDR"
"518","all-trans-Retinoic acid","GRIN1"
"519","all-trans-Retinoic acid","HNF4A"
"520","all-trans-Retinoic acid","ITGAV"
"521","all-trans-Retinoic acid","ITGB1"
"522","all-trans-Retinoic acid","NCOA3"
"523","all-trans-Retinoic acid","NR4A1"
"524","all-trans-Retinoic acid","THRB"
"525","Capric acid","PPARG"
"526","Imidazoleacetic acid","GABRR3"
"527","Imidazoleacetic acid","GABRA1;GABRG2;GABRB2"
"528","Imidazoleacetic acid","GABRA5;GABRG2;GABRB3"
"529","Imidazoleacetic acid","GABRA1;GABRG2;GABRB3"
"530","Imidazoleacetic acid","GABRA4;GABRG2;GABRB3"
"531","Imidazoleacetic acid","GABRA3;GABRG2;GABRB3"
"532","Imidazoleacetic acid","GABRA6;GABRG2;GABRB3"
"533","Imidazoleacetic acid","GABRR1"
"534","Imidazoleacetic acid","GABRR2"
"535","Imidazoleacetic acid","GABRA5;GABRG2;GABRB2"
"536","Imidazoleacetic acid","GABRA4;GABRG2;GABRB2"
"537","5-Hydroxyindoleacetic acid","GPR17"
"538","5-Hydroxyindoleacetic acid","PPARG"
"539","beta-Alanine","MRGPRD"
"540","beta-Alanine","GLRA2"
"541","beta-Alanine","GLRB"
"542","beta-Alanine","GLRA3"
"543","beta-Alanine","GLRA1"
"544","beta-Alanine","IGLL5"
"545","Acetic acid,Acetylglycine","FFAR2"
"546","Acetic acid,Acetylglycine","FFAR3"
"547","Acetic acid,Acetylglycine","GPR42"
"548","Acetic acid,Acetylglycine","M6PR"
"549","Acetic acid,Acetylglycine","RTN4R"
"550","Acetic acid,Acetylglycine","ESR1"
"551","Acetic acid,Acetylglycine","IL2RB"
"552","Acetic acid,Acetylglycine","BDKRB1"
"553","Acetic acid,Acetylglycine","PROKR2"
"554","Acetic acid,Acetylglycine","MLNR"
"555","Acetic acid,Acetylglycine","GNRHR"
"556","Acetic acid,Acetylglycine","HLA-DOA"
"557","Acetic acid,Acetylglycine","KISS1R"
"558","Acetic acid,Acetylglycine","GHSR"
"559","Acetic acid,Acetylglycine","MCHR1"
"560","Acetic acid,Acetylglycine","NR1H2"
"561","Acetic acid,Acetylglycine","NMUR2"
"562","Acetic acid,Acetylglycine","NMBR"
"563","Acetic acid,Acetylglycine","HTR2B"
"564","Acetic acid,Acetylglycine","CDH1"
"565","Acetic acid,Acetylglycine","PPARA"
"566","Acetic acid,Acetylglycine","GRIK5"
"567","Acetic acid,Acetylglycine","TYRO3"
"568","Acetic acid,Acetylglycine","GRIA2"
"569","Acetic acid,Acetylglycine","IDE"
"570","Acetic acid,Acetylglycine","GPR65"
"571","Acetic acid,Acetylglycine","IL22RA1"
"572","Acetic acid,Acetylglycine","AGTR1"
"573","Acetic acid,Acetylglycine","HTR2C"
"574","Acetic acid,Acetylglycine","NPFFR1"
"575","Acetic acid,Acetylglycine","MCHR2"
"576","Acetic acid,Acetylglycine","APP"
"577","Acetic acid,Acetylglycine","PTGER1"
"578","Acetic acid,Acetylglycine","CCKAR"
"579","Acetic acid,Acetylglycine","MST1R"
"580","Acetic acid,Acetylglycine","TNFRSF21"
"581","Acetic acid,Acetylglycine","AVPR1A"
"582","Acetic acid,Acetylglycine","ANPEP"
"583","Acetic acid,Acetylglycine","ANTXR1"
"584","Acetic acid,Acetylglycine","NTSR2"
"585","Acetic acid,Acetylglycine","PROKR1"
"586","Acetic acid,Acetylglycine","NMUR1"
"587","Acetic acid,Acetylglycine","IL7R"
"588","Acetic acid,Acetylglycine","ANTXR2"
"589","Acetic acid,Acetylglycine","ADRA1B"
"590","Acetic acid,Acetylglycine","LTB4R"
"591","Acetic acid,Acetylglycine","NPFFR2"
"592","Acetic acid,Acetylglycine","TRHR"
"593","Acetic acid,Acetylglycine","CD200R1"
"594","Acetic acid,Acetylglycine","HCRTR2"
"595","Acetic acid,Acetylglycine","EDNRA"
"596","Acetic acid,Acetylglycine","CD55"
"597","Acetic acid,Acetylglycine","UTS2R"
"598","Acetic acid,Acetylglycine","OXTR"
"599","Acetic acid,Acetylglycine","P4HB"
"600","Acetic acid,Acetylglycine","GP1BA"
"601","Acetic acid,Acetylglycine","LEPR"
"602","Acetic acid,Acetylglycine","PTPRB"
"603","Acetic acid,Acetylglycine","CCKBR"
"604","Acetic acid,Acetylglycine","RIPK2"
"605","Acetic acid,Acetylglycine","HLA-DQA1"
"606","Acetic acid,Acetylglycine","TRPV2"
"607","Acetic acid,Acetylglycine","NBR1"
"608","Acetic acid,Acetylglycine","ESR2"
"609","Acetic acid,Acetylglycine","KLRG1"
"610","Acetic acid,Acetylglycine","LPAR1"
"611","Acetic acid,Acetylglycine","NPSR1"
"612","Acetic acid,Acetylglycine","NR5A2"
"613","Acetic acid,Acetylglycine","MR1"
"614","Acetic acid,Acetylglycine","CD1B"
"615","Acetic acid,Acetylglycine","PTPRK"
"616","Acetic acid,Acetylglycine","NTSR1"
"617","Acetic acid,Acetylglycine","LPAR3"
"618","Acetic acid,Acetylglycine","PTGFR"
"619","Acetic acid,Acetylglycine","FIBCD1"
"620","Acetic acid,Acetylglycine","NR5A1"
"621","Acetic acid,Acetylglycine","HCRTR1"
"622","Acetic acid,Acetylglycine","IL2RG"
"623","Acetic acid,Acetylglycine","AGER"
"624","Acetic acid,Acetylglycine","EDNRB"
"625","Acetic acid,Acetylglycine","HTR2A"
"626","Acetic acid,Acetylglycine","ADRA1A"
"627","Acetic acid,Acetylglycine","ADRA1D"
"628","Acetic acid,Acetylglycine","IL15RA"
"629","Acetic acid,Acetylglycine","GRPR"
"630","Acetic acid,Acetylglycine","CRLF2"
"631","Acetic acid,Acetylglycine","QRFPR"
"632","Acetic acid,Acetylglycine","HLA-DQB1"
"633","Acetic acid,Acetylglycine","LPAR2"
"634","Acetic acid,Acetylglycine","HLA-DOB"
"635","Acetic acid,Acetylglycine","TBXA2R"
"636","Acetic acid,Acetylglycine","PTPRG"
"637","Acetic acid,Acetylglycine","RXRA"
"638","Acetic acid,Acetylglycine","ROBO1"
"639","Acetic acid,Acetylglycine","IGLL5"
"640","Acetic acid,Acetylglycine","NTRK1"
"641","Acetic acid,Acetylglycine","LTB4R2"
"642","Acetic acid,Acetylglycine","TNFRSF11A"
"643","Caprylic acid","PPARA"
"644","Betaine","TLR4"
"645","Aminoadipic acid","GRM6"
"646","Aminoadipic acid","GRM5"
"647","12-HETE","OXER1"
"648","12-HETE","LTB4R2"
"649","12-HETE","SELP"
"650","12-HETE","LTB4R"
"651","12-HETE","GPR31"
"652","Lipoxin A4","FPR2"
"653","Lipoxin A4","GPR32"
"654","Lipoxin A4","ANXA1"
"655","Lipoxin A4","APP"
"656","Lipoxin A4","PTAFR"
"657","Lipoxin A4","FPR1"
"658","Lipoxin A4","FPR3"
"659","Leukotriene B4","LTB4R1"
"660","Leukotriene B4","LTB4R2"
"661","13-L-Hydroperoxylinoleic acid","PPARA"
