,Compounds,GEM_id,HMDB_id,Cell_Compartment,Synthetic_genes,Transporter_genes,Transporter_genes_in,Receptor_genes,Synonyms,Synthetic_genes_lv2,precursor_transport
50,5-Aminolevulinic acid,MAM01074,HMDB0001149,"c,m,e","Alas1,Alas2,Cpne7",Slc15a1,,"Gabrr1,Gpr17","5-Aminolevulinic acid,5-amino-4-oxopentanoic acid,aminolevulinic acid,5-ALA,5-Amino-4-oxopentanoate,5-Amino-4-oxovaleric acid,5-Aminolevulinate,Aminolevulinic acid,DALA,delta-ALA,delta-Aminolevulinic acid,5-Amino-4-oxopentanoic acid,5-Amino-4-oxovalerate,Aminolevulinate,Δ-ala,delta-Aminolevulinate,Δ-aminolevulinate,Δ-aminolevulinic acid,5-Amino-4-oxo-pentanoate,5-Amino-4-oxo-pentanoic acid,5-Amino-levulinate,5-Amino-levulinic acid,5-Aminolaevulinate,5-Aminolaevulinic acid,Aladerm,Amino-levulinic acid,Kerastick,5 Aminolevulinate,Acid, Delta-aminolevulinic,Levulan,5 Aminolaevulinate,Acid hydrochloride, aminolevulinic,Bertek brand OF aminolevulinic acid hydrochloride,Hydrochloride, aminolevulinic acid,Acid, aminolevulinic,Aminolevulinic acid hydrochloride,Delta Aminolevulinic acid",,
286,D-Tryptophan,MAM03089,HMDB0013609,"c,l,e","Alb,Ctsa,Ctsb,Ctsc,Ctsd,Ctse,Ctsf,Ctsg,Ctsh,Ctsk,Ctsl,Ctso,Ctss,Ctsw,Ctsz,Lgmn,Tpp1,Hacd1,Hacd2","(Slc3a2 and Slc7a8),Slc16a10,Slc36a1,Slc43a1,Slc43a2,Slc7a1,Slc7a2,Slc7a3,Slc7a5,Slc7a7","Slc7a5,Abca1,Slc7a6,Slc3a1 and Slc7a6 and Slc7a9","Erap1,Chrm1,Tas1r3,Tas1r2,NA,Chrm4","D-Tryptophan,(2R)-2-amino-3-(1H-indol-3-yl)propanoic acid,D-tryptophan,(2R)-2-Amino-3-(1H-indol-3-yl)propanoic acid,(R)-Tryptophan,DTR,(2R)-2-Amino-3-(1H-indol-3-yl)propanoate,(+)-Tryptophan,(R)-(+)-2-amino-3-(3-Indolyl)propionic acid,(R)-2-amino-3-(3-Indolyl)propionic acid,D-(+)-Tryptophan,D-alpha-amino-3-Indolepropionic acid,D-Tryptophane,D-Trytophane,delta-(+)-Tryptophan,delta-alpha-amino-3-Indolepropionic acid,delta-Tryptophane,delta-Trytophane,DL-Tryptophan,H-D-TRP-OH,H-delta-TRP-OH,Tryptophan",,
183,L-Alloisoleucine,MAM02184,HMDB0000557,"c,l,m,e","Alb,Ctsa,Ctsb,Ctsc,Ctsd,Ctse,Ctsf,Ctsg,Ctsh,Ctsk,Ctsl,Ctso,Ctss,Ctsw,Ctsz,Lgmn,Tpp1,Hacd1,Hacd2,Ace2","(Slc3a2 and Slc7a8),Slc36a1,Slc43a1,Slc43a2,Slc7a1,Slc7a2,Slc7a3,Slc7a5,Slc7a7","Slc7a5,Abca1,Slc7a6,Slc3a1 and Slc7a6 and Slc7a9","Aplp2,App,Pvr","L-Alloisoleucine,(2S,3R)-2-amino-3-methylpentanoic acid,allo-isoleucine,(2S,3R)-2-Amino-3-methylpentanoic acid,Alle,Allo-L-isoleucine,L(+)-Alloisoleucine,Threo-3-methyl-L-norvaline,Threo-L-isoleucine,(2S,3R)-2-Amino-3-methylpentanoate,Alloisoleucine,Isoleucine,Isoleucine, L isomer,Isoleucine, L-isomer,L-Isoleucine,L-Isomer isoleucine,(3R)-LS-Isoleucine,2-Amino-3-methyl-[S-(r*,s*)]-pentanoate,2-Amino-3-methyl-[S-(r*,s*)]-pentanoic acid,Allo-isoleucine,L-Allo-isoleucine,[S-(R*,s*)]-2-amino-3-methylpentanoate,[S-(R*,s*)]-2-amino-3-methylpentanoic acid",,
13,13-cis-Retinoic acid,MAM00350,HMDB0006219,"c,r,n,e","Aldh1a1,Aldh1a2",,,"Abcc4,Abcc3,Gprc5a,Cd79a,Cd38,Hbegf,Nr3c1,Igfbp5,Nr1h2,Rara,Nr0b2,Tlr2,Thbs1,Rora,Scarb1,Cdh1,Bmpr1b,Icam1,Scarb2,Ide,Itgax,Ncor1,Egfr,Ntrk2,Cysltr2,Gja1,Pparg,Kit,Vcam1,Ccr1,Tlr3,Anpep,P2ry1,Cd36,P2ry2,Nr2f1,Rorc,Lepr,Rarb,Nr1i2,Rpsa,Ret,Adam15,Ccr9,Rxrg,Tfrc,Spn,Gjb1,Nr1i3,Il6ra,Cd40,Rxrb,Ar,Abca1,Rorb,Thbd,Cubn,Nr0b1,Trpc3,Igfbp3,Alk,Nr2f2,Rarg,Nr1h3,Rxra,Nr6a1,Itgam,Nr1h4,Vdr","13-cis-Retinoic acid,(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid,isotretinoin,(7E,9E,11E,13Z)-Retinoic acid,13-cis-Vitamin a acid,13-RA,Accutane,Amnesteem,cis-RA,Claravis,Isotretinoina,Isotretinoine,Isotretinoino,Isotretinoinum,Neovitamin a acid,Absorica,Sotret,(7E,9E,11E,13Z)-Retinoate,13-cis-Retinoate,(13-cis)-Retinoate,(13-cis)-Retinoic acid,CIP-isotretinoin,cis-Retinoate,cis-Retinoic acid,Isotretinoin,Isotrex,Retinoate,Retinoic acid,Roaccutan,Roaccutane,Roacutan,Teriosal,Isotretinoin zinc salt, 13 cis isomer,Isotretinoin zinc salt, 13-cis-isomer,13 cis Retinoic acid,13-cis-Retinoate,isotretinoin",Rdh5,
61,9-cis-Retinoic acid,MAM01231,HMDB0002369,"c,r,e","Aldh1a1,Aldh1a2",,,"Rxrb,Rarb,Rxra,Rara,Rarg,Rxrg,Nr1h3,Gprc5a,Cd79a,Cd38,Hbegf,Nr3c1,Igfbp5,Nr1h2,Nr0b2,Tlr2,Thbs1,Rora,Scarb1,Cdh1,Bmpr1b,Icam1,Scarb2,Ide,Itgax,Ncor1,Egfr,Ntrk2,Cysltr2,Gja1,Pparg,Kit,Vcam1,Ccr1,Tlr3,Anpep,P2ry1,Cd36,P2ry2,Nr2f1,Rorc,Lepr,Nr1i2,Rpsa,Ret,Adam15,Ccr9,Tfrc,Spn,Gjb1,Nr1i3,Il6ra,Cd40,Ar,Abca1,Rorb,Thbd,Cubn,Nr0b1,Trpc3,Igfbp3,Alk,Nr2f2,Nr6a1,Itgam,Nr1h4,Vdr,Grin1,Hnf4a,Itgav,Itgb1,Ncoa3,Nr4a1,Thrb","9-cis-Retinoic acid,(2E,4E,6Z,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid,alitretinoin,(2E,4E,6Z,8E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid,(7E,9Z,11E,13E)-Retinoic acid,9(Z)-Retinoic acid,9-cis-Tretinoin,Alitretinoin,Alitretinoina,Alitretinoine,Alitretinoinum,Panretin,Panretyn,(2E,4E,6Z,8E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoate,(7E,9Z,11E,13E)-Retinoate,9(Z)-Retinoate,9-cis-Retinoate,9 cis Retinoic acid,9CRA compound,Toctino,15-apo-beta-Caroten-15-Oate,15-apo-beta-Caroten-15-Oic acid,9-Retinoate,9-Retinoic acid,Aberel,Aberela,Airol,Aknoten,all-trans- Vitamin a1 acid,all-trans-b-Retinoate,all-trans-b-Retinoic acid,all-trans-beta-Retinoate,all-trans-beta-Retinoic acid,all-trans-Vitamin a acid,alpha-Vitaminsyre,Atragen,Avita,Avitoin,b-Retinoate,b-Retinoic acid,beta-Retinoate,beta-Retinoic acid,Dermairol,Effederm,Epi-aberel,Eudyna,Isotretinoin retinoate,Isotretinoin retinoic acid,Panretin gel,Panrexin,Renova,Retacnyl,Retin a,Retin-a,Retin-a micro,Retinoate,Retinoic acid,Retinova,trans-Retinoate,trans-Retinoic acid,trans-Vitamin a acid,Tretinoin,Tretinoin/all-trans retinoate,Tretinoin/all-trans retinoic acid,Tretinon,Vesanoid,Vesnaroid","Rbp2,Rbp1",
251,all-trans-Retinoic acid,MAM02833,HMDB0001852,"c,r,e,n","Aldh1a1,Aldh1a2,Aldh1a3",,,"Rxra,S1pr1,Rarb,Rara,Rarg,Rxrb,Rxrg,Rorb,Ror1,Ror2,Rora,Abcc4,Abcc3,Gprc5a,Cd79a,Cd38,Hbegf,Nr3c1,Igfbp5,Nr1h2,Nr0b2,Tlr2,Thbs1,Scarb1,Cdh1,Bmpr1b,Icam1,Scarb2,Ide,Itgax,Ncor1,Egfr,Ntrk2,Cysltr2,Gja1,Pparg,Kit,Vcam1,Ccr1,Tlr3,Anpep,P2ry1,Cd36,P2ry2,Nr2f1,Rorc,Lepr,Nr1i2,Rpsa,Ret,Adam15,Ccr9,Tfrc,Spn,Gjb1,Nr1i3,Il6ra,Cd40,Ar,Abca1,Thbd,Cubn,Nr0b1,Trpc3,Igfbp3,Alk,Nr2f2,Nr1h3,Nr6a1,Itgam,Nr1h4,Vdr,Grin1,Hnf4a,Itgav,Itgb1,Ncoa3,Nr4a1,Thrb","all-trans-Retinoic acid,(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid,tretinoin,(all-e)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid,3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ecl),AGN 100335,all-(e)-Retinoic acid,all-trans-beta-Retinoic acid,all-trans-Tretinoin,all-trans-Vitamin a acid,all-trans-Vitamin a1 acid,beta-Retinoic acid,Eudyna,Renova,Retin-a,Retinoic acid,Retisol-a,Ro 1-5488,Solage,Stieva-a,trans-Retinoic acid,Tretin m,Tretinoin,Vesanoid,Vitamin a acid,Vitinoin,all-trans-Retinoate,Avita,Retin a,(all-e)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoate,3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoate (ecl),all-(e)-Retinoate,all-trans-b-Retinoate,all-trans-b-Retinoic acid,all-trans-beta-Retinoate,all-trans-Β-retinoate,all-trans-Β-retinoic acid,b-Retinoate,b-Retinoic acid,beta-Retinoate,Β-retinoate,Β-retinoic acid,Retinoate,trans-Retinoate,(2E,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoate,Tretinoin zinc salt,trans Retinoic acid,Acid, all-trans-retinoic,Salt, tretinoin sodium,beta all trans Retinoic acid,beta-all-trans-Retinoic acid,Acid, vitamin a,Potassium salt, tretinoin,Sodium salt, tretinoin,Acid, beta-all-trans-retinoic,Tretinoin potassium salt,Zinc salt, tretinoin,Acid, retinoic,Acid, trans-retinoic,Salt, tretinoin potassium,Salt, tretinoin zinc,Tretinoin sodium salt,all trans Retinoic acid,Retin-a micro,Atralin,Tretin-X",,
63,"Acetic acid,Acetylglycine",MAM01252,"HMDB0000042,HMDB0000532","c,g,m,x,r,e,n","Aldh1a3,Aldh3a1,Aldh3b1,Aldh3b2,Aldh3b3,Aldh1b1,Aldh2,Aldh3a2,Aldh7a1,Aldh9a1,Acot12,Acy3,Aspa,Amdhd2,Acot8,Bco2,Cyp17a1,Ache,Bche,Aspg,Pafah1b1,Pafah1b2,Pafah1b3,Pafah2,Pigl,Cyp11b1,Cyp11b2,Ndst1,Ndst2,Ndst3,Ndst4,Siae,Macrod1,Macrod2,Oard1",,"Slc16a1,Slc16a3,Slc16a4,Slc16a5,Slc16a6,Slc16a7,Slc16a8",,,,
180,Imidazoleacetic acid,MAM02166,HMDB0002024,"c,m,e","Aldh1b1,Aldh2,Aldh3a2,Aldh7a1,Aldh9a1",,,"Gabrr3,Gabra1 and Gabrg2 and Gabrb2,Gabra5 and Gabrg2 and Gabrb3,Gabra1 and Gabrg2 and Gabrb3,Gabra4 and Gabrg2 and Gabrb3,Gabra3 and Gabrg2 and Gabrb3,Gabra6 and Gabrg2 and Gabrb3,Gabrr1,Gabrr2,Gabra5 and Gabrg2 and Gabrb2,Gabra4 and Gabrg2 and Gabrb2","Imidazoleacetic acid,2-(1H-imidazol-5-yl)acetic acid,IMAC,1H-Imidazole-4-acetic acid,4(5)-Imidazoleacetate,4-Imidazoleacetate,Imidazole-4-acetate,1H-Imidazole-4-acetate,4(5)-Imidazoleacetic acid,4-Imidazoleacetic acid,Imidazole-4-acetic acid,Imidazoleacetate,1H-Imidazol-4-ylacetic acid,IAA,Imidazol-4-ylacetate,Imidazol-4-ylacetic acid,Imidazole acetate,Imidazolyl-4-acetic acid,IZC,Lopac-I-0375,Imidazole-4-acetic acid, sodium salt,Imidazole-4-acetic acid hydrochloride",,
51,5-Hydroxyindoleacetic acid,MAM01103,HMDB0000763,"c,m,e","Aldh1b1,Aldh2,Aldh3a2,Aldh7a1,Aldh9a1,Aox1,Aldh4a1",,,"Gpr17,Pparg","5-Hydroxyindoleacetic acid,2-(5-hydroxy-1H-indol-3-yl)acetic acid,hydroxyindoleacetic acid,5-HIAA,5-Hydroxy-1H-indole-3-acetic acid,5-Hydroxyindol-3-ylacetic acid,5-Hydroxyindole-3-acetic acid,5-Hydroxy-1H-indole-3-acetate,5-Hydroxyindol-3-ylacetate,5-Hydroxyindole-3-acetate,5-Hydroxyindoleacetate,5-Hydroxy-3-indolylacetate,5-Hydroxy-iaa,5-Hydroxy-indole-3-acetate,5-Hydroxy-indole-3-acetic acid,5-Hydroxyheteroauxin,5-Hydroxyindole acetate,5-Oxyindoleacetate,5-Oxyindoleacetic acid,5HIAA,Hydroxyindoleacetate,5-Hydroxyindolamine acetic acid,Hydroxyindoleacetic acid,5 Hydroxy 3 indoleacetic acid,5 Hydroxyindolamine acetic acid,5-Hydroxy-3-indoleacetic acid,Acetic acid, 5-hydroxyindolamine,Acid, hydroxyindoleacetic,Acid, 5-hydroxy-3-indoleacetic,Acid, 5-hydroxyindolamine acetic",,
88,beta-Alanine,MAM01383,HMDB0000056,"c,m,e","Aldh1b1,Aldh2,Aldh3a2,Aldh7a1,Aldh9a1,Gad1,Gad2,Upb1,Cndp1,Cndp2,Aldh4a1",Slc32a1,,"Mrgprd,Glra2,Glrb,Glra3,Glra1,Igll1","beta-Alanine,3-aminopropanoic acid,β alanine,3-Aminopropanoic acid,3-Aminopropionic acid,BAla,beta-Aminopropionic acid,H-beta-Ala-OH,Omega-aminopropionic acid,3-Aminopropanoate,Abufene,3-Aminopropionate,b-Aminopropionate,b-Aminopropionic acid,beta-Aminopropionate,Β-aminopropionate,Β-aminopropionic acid,H-b-Ala-OH,H-Β-ala-OH,Omega-aminopropionate,b-Alanine,Β-alanine,2-Carboxyethylamine,3-Amino-propanoate,3-Amino-propanoic acid,b-Aminopropanoate,b-Aminopropanoic acid,beta Alanine,beta-Aminopropanoate,beta-Aminopropanoic acid,3 Aminopropionic acid,β-Aminopropanoic acid,omega-Aminopropanoic acid,ω-Aminopropanoic acid,ω-Aminopropionic acid",,
117,Capric acid,MAM01648,HMDB0000511,"c,e,r",Aldh3a2,Abca1,,Pparg,"Capric acid,decanoic acid,capric acid,1-Nonanecarboxylic acid,10:0,C10:0,Caprinic acid,CH3-[CH2]8-COOH,Decanoate,Decoic acid,Decylic acid,Dekansaeure,Kaprinsaeure,N-Capric acid,N-Decanoic acid,N-Decoic acid,N-Decylic acid,1-Nonanecarboxylate,Caprinate,Decanoic acid,Decoate,Decylate,N-Caprate,N-Decanoate,N-Decoate,N-Decylate,Caprate,Caprynate,Caprynic acid,Emery 659,Lunac 10-95,Lunac 10-98,Prifac 2906,Prifac 296,Decanoic acid, sodium salt,Sodium caprate,Sodium decanoate,FA(10:0)",,
224,Caprylic acid,MAM02642,HMDB0000482,"c,e,r","Aldh3a2,Aldh3b1,Aldh3b2,Aldh3b3",,,Ppara,"Caprylic acid,octanoic acid,caprylic acid,1-Heptanecarboxylic acid,8:0,Acide octanoique,Acido octanoico,Acidum octanocium,Acidum octanoicum,C8:0,CH3-[CH2]6-COOH,Kaprylsaeure,N-Caprylic acid,N-Octanoic acid,N-Octoic acid,N-Octylic acid,OCTANOIC ACID (caprylIC ACID),Octansaeure,Octoic acid,Octylic acid,Octanoate,1-Heptanecarboxylate,N-Caprylate,N-Octanoate,N-Octoate,N-Octylate,OCTANOate (caprylate),Octoate,Octylate,Octanoic acid,Caprylate,Emery 657,Kortacid 0899,Lunac 8-95,Lunac 8-98,Neo-fat 8,Neo-fat 8S,Prifac 2901,Caprylic acid, cadmium salt,Caprylic acid, cesium salt,Caprylic acid, manganese salt,Caprylic acid, nickel(+2) salt,Caprylic acid, zinc salt,Caprylic acid, aluminum salt,Caprylic acid, barium salt,Caprylic acid, chromium(+2) salt,Caprylic acid, lead(+2) salt,Caprylic acid, potassium salt,Caprylic acid, tin(+2) salt,Sodium octanoate,Caprylic acid, 14C-labeled,Caprylic acid, lithium salt,Caprylic acid, ruthenium(+3) salt,Caprylic acid, sodium salt,Caprylic acid, sodium salt, 11C-labeled,Caprylic acid, tin salt,Caprylic acid, zirconium salt,Sodium caprylate,Caprylic acid, ammonia salt,Caprylic acid, calcium salt,Caprylic acid, cobalt salt,Caprylic acid, copper salt,Caprylic acid, copper(+2) salt,Caprylic acid, iridum(+3) salt,Caprylic acid, iron(+3) salt,Caprylic acid, lanthanum(+3) salt,Caprylic acid, zirconium(+4) salt,FA(8:0),Lithium octanoate",,
91,Betaine,MAM01393,HMDB0000043,"c,m,e",Aldh7a1,,,Tlr4,"Betaine,(carboxymethyl)trimethylazanium,trimethyl glycine,TRIMETHYL glycine,Acidin pepsin,Acidin-pepsin,AcidinPepsin,Betaine hydrochloride,Betaine, glycine,C.B.B.,Citrate de bétaïne beaufour,Citrate de bétaïne upsa,Cystadane,Glycine betaine,Hepastyl,Hydrochloride, betaine,Lycine,Novobetaine,Oxyneurine,Scorbo bétaïne,Scorbo-bétaïne,Scorbobétaïne,Stea 16,Stea-16,Stea16,Trimethylammonioacetic acid,Betaine orphan brand,Byk brand OF betaine phosphate,Fournier brand OF betaine ascorbate and hydrate,Beaufour brand OF betaine citrate,Boizot brand OF betaine aspartate,Logeais brand OF betaine cyclobutyrate,UPSA brand OF betaine citrate,Orphan brand OF betaine,N,N,N-Trimethylglycine,Trimethylaminoacetate,Trimethylammonioacetate",,
185,Aminoadipic acid,MAM02322,HMDB0000510,"c,m,e",Aldh7a1,,,"Grm6,Grm5","Aminoadipic acid,(2S)-2-aminohexanedioic acid,aminoadipate,(S)-2-Aminohexanedioic acid,L-2-Aminoadipate,L-2-Aminohexanedioate,L-alpha-Aminoadipate,L-alpha-Aminoadipic acid,L-2-Aminoadipic acid,(S)-2-Aminohexanedioate,L-2-Aminohexanedioic acid,L-a-Aminoadipate,L-a-Aminoadipic acid,L-Α-aminoadipate,L-Α-aminoadipic acid,Aminoadipate,(2S)-2-Aminohexanedioic acid,(2S)-2-Azaniumyl-6-hydroxy-6-oxohexanoate,(S)-2-Aminoadipic acid,2-Aminoadipate,2-Aminoadipic acid,2-Aminohexanedioic acid,L-Aminoadipic acid,alpha-Aminoadipic acid,Α-aminoadipic acid",,
9,12-HETE,MAM00307,HMDB0006111,"c,r,n",Alox12,,,"NA,Ltb4r2,Selp,Ltb4r1,Gpr31b","12-HETE,(5Z,8Z,10E,12S,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid,12S-hete,(12S)-12-Hydroxy-5,8,14-cis-10-trans-eicosatetraenoic acid,(5Z,8Z,10E,12S,14Z)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid,(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyeicosa-5,8,10,14-tetraenoic acid,(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyicosa-5,8,10,14-tetraenoic acid,12(S)-Hydroxy-5(Z),8(Z),10(e),14(Z)-eicosatetraenoic acid,12(S)-Hydroxy-5,8,14(Z),10(e)-eicosatetraenoic acid,12(S)-Hydroxyeicosatetraenoic acid,12S-HETE,(12S)-12-Hydroxy-5,8,14-cis-10-trans-eicosatetraenoate,(5Z,8Z,10E,12S,14Z)-12-Hydroxyeicosa-5,8,10,14-tetraenoate,(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyeicosa-5,8,10,14-tetraenoate,(5Z,8Z,10E,14Z)-(12S)-12-Hydroxyicosa-5,8,10,14-tetraenoate,12(S)-Hydroxy-5(Z),8(Z),10(e),14(Z)-eicosatetraenoate,12(S)-Hydroxy-5,8,14(Z),10(e)-eicosatetraenoate,12(S)-Hydroxyeicosatetraenoate,(5Z,8Z,10E,14Z)-12-Hydroxy-5,8,10,14-eicosatetraenoic acid,12(S)-HETE,12(S)-Hydroxy-5,8,14-cis-10-trans-eicosatetraenoic acid,12-Hydroxy-5,8,10,14-eicosatetraenoic acid,12-Hydroxy-5Z,8Z,10E,14Z-eicosatetraenoic acid,12-Hydroxyeicosatetraenoic acid,12-L-Hydroxy-5,8,10,14-eicosatetraenoic acid,12S-Hydroxy-5,8,10,14-(Z,Z,e,Z)-eicosatetraenoic acid,FA(20:4(5Z,8Z,10E,12-OH,14Z)),FA(20:4(5Z,8Z,10E,12S-OH,14Z))",,
16,Lipoxin A4,MAM02395,HMDB0004385,"c,x,r","Alox12,Alox5",,,"Fpr2,NA,P2ry10,Drd4,Bdkrb1,Prokr2,NA,Gnrhr,Grm6,Kiss1r,Oprd1,NA,Tas2r114,Tas2r130,NA,Ghsr,S1pr4,Ffar2,Ffar1,Ccr7,Tas2r137,Tas2r108,NA,F2rl3,Mchr1,Galr3,Tas2r118,Sstr4,Nmur2,Chrm3,Hrh4,Mtnr1b,Aplnr,Anxa1,Nmbr,Htr2b,Oprk1,Sstr1,Gpr65,Gpr17,Ackr3,Agtr1a,Htr2c,Npffr1,Adra2a,NA,Cysltr2,Grm1,App,Htr5a,Cxcr5,Ccr2,Ccr5,Ptger1,Sstr5,Cckar,Cxcr1,Ccr1,F2rl2,F2rl1,Gper1,Oxgr1,Avpr1a,Galr1,Ptafr,C3ar1,Fpr1,Mtnr1a,Tacr3,Tacr1,Ntsr2,Prokr1,Cxcr6,P2ry1,S1pr1,Nmur1,Grm5,Chrm1,Adra1b,P2ry12,Ltb4r1,NA,Npffr2,P2ry14,Adora1,Gprc6a,P2ry6,Trhr,P2ry2,Xcr1,Ednra,Htr1a,Cxcr2,Gpr4,Chrm2,P2ry13,F2r,Htr1f,Uts2r,Oxtr,Ccr8,Tas2r135,Lpar5,Ffar3,S1pr5,Rxfp3,Gpr132,Galr2,Npbwr1,Ccr10,Ccr9,Npy2r,Ccr4,Ptgdr2,Tas2r131,Cckbr,Oprl1,Npy5r,Ccr6,NA,Hrh3,Gpr18,Grm8,Lpar6,C5ar1,Ptger3,Sstr2,Grm7,S1pr3,Lpar1,Npsr1,Npy1r,Drd2,Sucnr1,Grm3,Rxfp4,Cnr1,NA,Htr1b,Ntsr1,Lpar3,Ptgfr,Hcrtr2,Agtr2,Cysltr1,Tacr2,Cxcr3,Hcrtr1,Grm4,Npy4r,Cnr2,P2ry4,Ednrb,NA,Htr2a,Adra1a,Adra1d,Grpr,Tas2r119,Chrm5,Drd3,Hcar2,NA,Tas2r136,Tas2r121,Gpr55,Qrfpr,Grm2,Hrh1,Gcgr,Lpar2,Adra2c,Tas2r126,Tas2r144,Cxcr4,Tbxa2r,Oprm1,Tas2r139,Chrm4,Casr,NA,NA,Ltb4r2,Gpr68,Tas2r120,NA,Ccr3,NA,Tas2r140,NA,Tas2r138,S1pr2","Lipoxin A4,(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-trihydroxyicosa-7,9,11,13-tetraenoic acid,lipoxin A4,(5S,6R,15S)-Trihydroxy-7,9,13-trans-11-cis-eicosatetraenoic acid,(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-Trihydroxy-7,9,11,13-eicosatetraenoic acid,(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-Trihydroxyeicosa-7,9,11,13-tetraenoic acid,(7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoic acid,5(S),6(R),15(S)-Trihydroxyeicosa-7E,9E,11Z,13E-tetraenoic acid,5S,6R,15S-Trihydroxy-7,9,13-trans-11-cis-eicosatetraenoic acid,5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid,5S,6R-LipoxinA4,6R-LXA4,LXA4,(5S,6R,15S)-Trihydroxy-7,9,13-trans-11-cis-eicosatetraenoate,(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-Trihydroxy-7,9,11,13-eicosatetraenoate,(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-Trihydroxyeicosa-7,9,11,13-tetraenoate,(7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoate,5(S),6(R),15(S)-Trihydroxyeicosa-7E,9E,11Z,13E-tetraenoate,5S,6R,15S-Trihydroxy-7,9,13-trans-11-cis-eicosatetraenoate,5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoate,5S,6S-Lipoxin a4,15-Epi-lxa4,15-Epi-lipoxin a4,5,6,15-Tri-hete,5,6,15-TriHETE,5,6,15-Trihydroxy-7,9,11,13-eicosatetraenoic acid","Alox15,Alox5",
47,Leukotriene B4,MAM02364,"HMDB0001085,HMDB0005087",c,"Alox12,Alox5,Lta4h,Rnpep","Abcc4,Abcc1",,"Ltb4r1,Ltb4r2",,Alox5,
11,13-L-Hydroperoxylinoleic acid,MAM00337,HMDB0003871,"c,e","Alox15,Alox8",,,Ppara,"13-L-Hydroperoxylinoleic acid,(9Z,11E,13S)-13-hydroperoxyoctadeca-9,11-dienoic acid,13-HpODE,(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate,(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid,13S-Hydroperoxy-9Z,11E-octadecadienoic acid,13(S)-HPODE,13S-Hydroperoxy-9Z,11E-octadecadienoate,13-L-Hydroperoxylinoleate,(9Z,11E,13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid,(9Z,11E,13S)-13-Hydroperoxyoctadeca-9,11-dienoate,(13S,9Z,11E)-13-Hydroperoxy-9,11-octadecadienoate,(13S,9Z,11E)-13-Hydroperoxy-9,11-octadecadienoic acid,13(S)-Hydroperoxy-9Z,11E-octadecadienoate,13(S)-Hydroperoxy-9Z,11E-octadecadienoic acid,13(S)-Hydroperoxylinoleic acid,13-HPOD,13-Hpode,13-L-Hydroperoxy-9-cis,11-trans-octadecadienoate,13-L-Hydroperoxy-9-cis,11-trans-octadecadienoic acid,13-L-Hydroperoxy-cis-9,trans-11-octadecadienoate,13-L-Hydroperoxy-cis-9,trans-11-octadecadienoic acid,Hpode,Linoleic acid 13(S)-hydroperoxide,13-Hydroperoxy-9,11-octadecadienoic acid,13-Hydroperoxy-9,11-octadecadienoic acid, (Z,e)-isomer",,
320,5S-HPETE,MAM01042,,"e,n,r,c",Alox5,Slc22a19,NA,Niacr1,,"Acot1,Acot2,Acot4,Acot6,Acot7,Egfl8,Ppt1,Ppt2,Acer3",
