"","Compounds","Receptor_genes"
"127","Eicosapentaenoic acid","Cntn1"
"128","Eicosapentaenoic acid","F3"
"129","Eicosapentaenoic acid","Pparg"
"130","Eicosapentaenoic acid","Rxra"
"131","Eicosapentaenoic acid","Musk"
"132","Eicosapentaenoic acid","Ffar1"
"133","Eicosapentaenoic acid","Ppard"
"134","Eicosapentaenoic acid","Ppara"
"135","Eicosapentaenoic acid","Abcb4"
"136","Eicosapentaenoic acid","Grm1"
"137","Eicosapentaenoic acid","Tnfrsf21"
"138","Eicosapentaenoic acid","Cd36"
"139","Eicosapentaenoic acid","Tas1r3"
"140","Eicosapentaenoic acid","Ffar4"
"141","Eicosapentaenoic acid","Abca1"
"142","Eicosapentaenoic acid","Tas1r2"
"143","Eicosapentaenoic acid","Trpv1"
"144","Linoleic acid","Cntn1"
"145","Linoleic acid","F3"
"146","Linoleic acid","Pparg"
"147","Linoleic acid","Ffar4"
"148","Linoleic acid","Ffar1"
"149","Linoleic acid","Ppara"
"150","Linoleic acid","Abcb4"
"151","Linoleic acid","Vcam1"
"152","Linoleic acid","Tnfrsf21"
"153","Linoleic acid","Cd36"
"154","Linoleic acid","Olr1"
"155","Linoleic acid","Sele"
"156","Linoleic acid","Sdc4"
"157","Linoleic acid","Abca1"
"158","Linoleic acid","Rxra"
"159","Linoleic acid","Ahr"
"160","Linoleic acid","Ppard"
"161","Elaidic acid","Abcg2"
"162","Elaidic acid","Abcg3"
"163","Elaidic acid","Lrp1"
"164","Elaidic acid","Ffar1"
"165","Elaidic acid","Rara"
"166","Elaidic acid","Ppara"
"167","Elaidic acid","Icam1"
"168","Elaidic acid","Pparg"
"169","Elaidic acid","Vcam1"
"170","Elaidic acid","Cav1"
"171","Elaidic acid","Ffar4"
"172","Elaidic acid","Cd44"
"173","Elaidic acid","Rxra"
"174","Oleic acid,Octadec-9-enoic Acid","Cntn1"
"175","Oleic acid,Octadec-9-enoic Acid","F3"
"176","Oleic acid,Octadec-9-enoic Acid","Pparg"
"177","Oleic acid,Octadec-9-enoic Acid","Ffar1"
"178","Oleic acid,Octadec-9-enoic Acid","Ffar4"
"179","Oleic acid,Octadec-9-enoic Acid","Abcg2"
"180","Oleic acid,Octadec-9-enoic Acid","Abcg3"
"181","Oleic acid,Octadec-9-enoic Acid","Lrp1"
"182","Oleic acid,Octadec-9-enoic Acid","Rara"
"183","Oleic acid,Octadec-9-enoic Acid","Ppara"
"184","Oleic acid,Octadec-9-enoic Acid","Icam1"
"185","Oleic acid,Octadec-9-enoic Acid","Vcam1"
"186","Oleic acid,Octadec-9-enoic Acid","Cav1"
"187","Oleic acid,Octadec-9-enoic Acid","Cd44"
"188","Oleic acid,Octadec-9-enoic Acid","Rxra"
"189","Oleic acid,Octadec-9-enoic Acid","Ppard"
"190","Arachidonic acid","Cntn1"
"191","Arachidonic acid","F3"
"192","Arachidonic acid","Pparg"
"193","Arachidonic acid","Trpc7"
"194","Arachidonic acid","Trpm2"
"195","Arachidonic acid","Trpm5"
"196","Arachidonic acid","Trpv4"
"197","Arachidonic acid","Ppara"
"198","Arachidonic acid","Kdr"
"199","Arachidonic acid","Abcb4"
"200","Arachidonic acid","Tnfrsf21"
"201","Arachidonic acid","Cd36"
"202","Arachidonic acid","Abca1"
"203","Arachidonic acid","Rxra"
"204","Arachidonic acid","Nr1h4"
"205","Palmitic acid","Pparg"
"206","Palmitic acid","Bdkrb1"
"207","Palmitic acid","Prokr2"
"208","Palmitic acid","Gnrhr"
"209","Palmitic acid","Kiss1r"
"210","Palmitic acid","Ghsr"
"211","Palmitic acid","Ffar1"
"212","Palmitic acid","Mchr1"
"213","Palmitic acid","Nmur2"
"214","Palmitic acid","Nmbr"
"215","Palmitic acid","Htr2b"
"216","Palmitic acid","Tlr2"
"217","Palmitic acid","Ror1"
"218","Palmitic acid","Scarb1"
"219","Palmitic acid","Ppara"
"220","Palmitic acid","Scarb2"
"221","Palmitic acid","Abcb4"
"222","Palmitic acid","Gpr65"
"223","Palmitic acid","Itgax"
"224","Palmitic acid","Agtr1a"
"225","Palmitic acid","Agtr1b"
"226","Palmitic acid","Htr2c"
"227","Palmitic acid","Tnfrsf10b"
"228","Palmitic acid","Npffr1"
"229","Palmitic acid","Ptger1"
"230","Palmitic acid","Cckar"
"231","Palmitic acid","Tnfrsf21"
"232","Palmitic acid","Avpr1a"
"233","Palmitic acid","Clec4e"
"234","Palmitic acid","Ntsr2"
"235","Palmitic acid","Prokr1"
"236","Palmitic acid","Nmur1"
"237","Palmitic acid","Adra1b"
"238","Palmitic acid","Ltb4r1"
"239","Palmitic acid","Npffr2"
"240","Palmitic acid","Cd36"
"241","Palmitic acid","Trhr"
"242","Palmitic acid","Ednra"
"243","Palmitic acid","Musk"
"244","Palmitic acid","Uts2r"
"245","Palmitic acid","Oxtr"
"246","Palmitic acid","Cckbr"
"247","Palmitic acid","Ripk2"
"248","Palmitic acid","Lpar1"
"249","Palmitic acid","Npsr1"
"250","Palmitic acid","Nr4a1"
"251","Palmitic acid","Cd1d2"
"252","Palmitic acid","Cd1d1"
"253","Palmitic acid","Ntsr1"
"254","Palmitic acid","Lpar3"
"255","Palmitic acid","Ptgfr"
"256","Palmitic acid","Hcrtr2"
"257","Palmitic acid","Ffar4"
"258","Palmitic acid","Glp1r"
"259","Palmitic acid","Hcrtr1"
"260","Palmitic acid","Tlr4"
"261","Palmitic acid","Abca1"
"262","Palmitic acid","Ednrb"
"263","Palmitic acid","Htr2a"
"264","Palmitic acid","Adra1a"
"265","Palmitic acid","Adra1d"
"266","Palmitic acid","Grpr"
"267","Palmitic acid","Qrfprl"
"268","Palmitic acid","Qrfpr"
"269","Palmitic acid","Hnf4g"
"270","Palmitic acid","Gcgr"
"271","Palmitic acid","Lpar2"
"272","Palmitic acid","Tbxa2r"
"273","Palmitic acid","Rxra"
"274","Palmitic acid","Ltb4r2"
"275","Stearic acid","Pparg"
"276","Stearic acid","Esr1"
"277","Stearic acid","Rora"
"278","Stearic acid","Ppara"
"279","Stearic acid","Ppard"
"280","Stearic acid","Adora2a"
"281","Stearic acid","Ffar4"
"282","Stearic acid","Rorb"
"283","Stearic acid","Ar"
"284","Phytanic acid","Ppara"
"285","Phytanic acid","Ppard"
"286","Phytanic acid","Pparg"
"287","Phytanic acid","Rxrb"
"288","Cholic acid","Gpbar1"
"289","Cholic acid","Vdr"
"290","Cholic acid","Nr1h4"
"291","Cholic acid","Nr0b2"
"292","Cholic acid","Hnf4a"
"293","Cholic acid","Thbs1"
"294","Cholic acid","Scarb1"
"295","Cholic acid","Cdh1"
"296","Cholic acid","Ppara"
"297","Cholic acid","Abcb11"
"298","Cholic acid","Abcb4"
"299","Cholic acid","Egfr"
"300","Cholic acid","Tnfrsf10b"
"301","Cholic acid","Abcc3"
"302","Cholic acid","Nr1i2"
"303","Cholic acid","Cav1"
"304","Cholic acid","Fas"
"305","Cholic acid","Esrrb"
"306","Cholic acid","Esrrg"
"307","Caproic acid","Ffar2"
"308","Acetaldehyde","Esr1"
"309","Acetaldehyde","Fcgrt"
"310","Acetaldehyde","Traf2"
"311","Acetaldehyde","Lrp6"
"312","Acetaldehyde","Trpa1"
"313","Acetaldehyde","Hpn"
"314","Acetaldehyde","Ppara"
"315","Acetaldehyde","Notch1"
"316","Acetaldehyde","Itga1"
"317","Acetaldehyde","Pparg"
"318","Acetaldehyde","Esr2"
"319","Acetaldehyde","H2-Eb2"
"320","Acetaldehyde","H2-Eb1"
"321","Acetaldehyde","Ddr2"
"322","Acetaldehyde","Igll1"
"323","Acetaldehyde","Itgam"
"324","L-Kynurenine","Ahr"
"325","L-Kynurenine","Cdh1"
"326","L-Kynurenine","H2-T22"
"327","L-Kynurenine","H2-M10.6"
"328","L-Kynurenine","H2-T5"
"329","L-Kynurenine","H2-M10.2"
"330","L-Kynurenine","H2-D1"
"331","L-Kynurenine","H2-Q6"
"332","L-Kynurenine","H2-Q7"
"333","L-Kynurenine","H2-M10.4"
"334","L-Kynurenine","H2-M2"
"335","L-Kynurenine","H2-M11"
"336","L-Kynurenine","H2-Q1"
"337","L-Kynurenine","H2-M5"
"338","L-Kynurenine","H2-Q10"
"339","L-Kynurenine","H2-M10.1"
"340","L-Kynurenine","H2-M3"
"341","L-Kynurenine","H2-Q2"
"342","L-Kynurenine","H2-K1"
"343","Formic acid","Abcg1"
"344","Formic acid","Esr1"
"345","Formic acid","Panx1"
"346","Formic acid","Ffar2"
"347","Formic acid","Ffar1"
"348","Formic acid","Tlr2"
"349","Formic acid","Ppara"
"350","Formic acid","Nectin1"
"351","Formic acid","Icam1"
"352","Formic acid","Gpr84"
"353","Formic acid","Erbb2"
"354","Formic acid","Egfr"
"355","Formic acid","St14"
"356","Formic acid","App"
"357","Formic acid","Pparg"
"358","Formic acid","Clec4e"
"359","Formic acid","Cd36"
"360","Formic acid","Hnf4a"
"361","Formic acid","Ffar3"
"362","Formic acid","Ripk2"
"363","Formic acid","Ret"
"364","Formic acid","Jaml"
"365","Formic acid","H2-Eb2"
"366","Formic acid","H2-Eb1"
"367","Formic acid","Tfrc"
"368","Formic acid","Ffar4"
"369","Formic acid","Tlr4"
"370","Formic acid","Abca1"
"371","Formic acid","Thbd"
"372","Formic acid","Unc13b"
"373","Formic acid","Pdcd1lg2"
"374","Formic acid","Trpv1"
"375","Formic acid","Igll1"
"376","Formic acid","Nr1h4"
"377","Homocysteine","Ccr2"
"378","Homocysteine","Vcam1"
"379","Homocysteine","Grin2a"
"380","Homocysteine","F3"
"381","Homocysteine","Anxa2"
"382","Homocysteine","Grin1"
"383","Homocysteine","Hcar2"
"384","Homocysteine","Itpr1"
"385","Sorbitol","Tlr4"
"386","Galactitol","Tlr4"
"387","Prostaglandin F2a","Ptgfr"
"388","Androsterone","Gpbar1"
"389","Androsterone","Nr0b2"
"390","Androsterone","Nr1h4"
"391","Prostaglandin D2","Ptgdr"
"392","Prostaglandin D2","Ptgdr2"
"393","5-Aminolevulinic acid","Gabrr1"
"394","5-Aminolevulinic acid","Gpr17"
"395","D-Tryptophan","Erap1"
"396","D-Tryptophan","Chrm1"
"397","D-Tryptophan","Tas1r3"
"398","D-Tryptophan","Tas1r2"
"399","D-Tryptophan","Chrm4"
"400","L-Alloisoleucine","Aplp2"
"401","L-Alloisoleucine","App"
"402","L-Alloisoleucine","Pvr"
"403","13-cis-Retinoic acid","Abcc4"
"404","13-cis-Retinoic acid","Abcc3"
"405","13-cis-Retinoic acid","Gprc5a"
"406","13-cis-Retinoic acid","Cd79a"
"407","13-cis-Retinoic acid","Cd38"
"408","13-cis-Retinoic acid","Hbegf"
"409","13-cis-Retinoic acid","Nr3c1"
"410","13-cis-Retinoic acid","Igfbp5"
"411","13-cis-Retinoic acid","Nr1h2"
"412","13-cis-Retinoic acid","Rara"
"413","13-cis-Retinoic acid","Nr0b2"
"414","13-cis-Retinoic acid","Tlr2"
"415","13-cis-Retinoic acid","Thbs1"
"416","13-cis-Retinoic acid","Rora"
"417","13-cis-Retinoic acid","Scarb1"
"418","13-cis-Retinoic acid","Cdh1"
"419","13-cis-Retinoic acid","Bmpr1b"
"420","13-cis-Retinoic acid","Icam1"
"421","13-cis-Retinoic acid","Scarb2"
"422","13-cis-Retinoic acid","Ide"
"423","13-cis-Retinoic acid","Itgax"
"424","13-cis-Retinoic acid","Ncor1"
"425","13-cis-Retinoic acid","Egfr"
"426","13-cis-Retinoic acid","Ntrk2"
"427","13-cis-Retinoic acid","Cysltr2"
"428","13-cis-Retinoic acid","Gja1"
"429","13-cis-Retinoic acid","Gja6"
"430","13-cis-Retinoic acid","Pparg"
"431","13-cis-Retinoic acid","Kit"
"432","13-cis-Retinoic acid","Vcam1"
"433","13-cis-Retinoic acid","Ccr1"
"434","13-cis-Retinoic acid","Ccr1l1"
"435","13-cis-Retinoic acid","Tlr3"
"436","13-cis-Retinoic acid","Anpep"
"437","13-cis-Retinoic acid","P2ry1"
"438","13-cis-Retinoic acid","Cd36"
"439","13-cis-Retinoic acid","P2ry2"
"440","13-cis-Retinoic acid","Nr2f1"
"441","13-cis-Retinoic acid","Rorc"
"442","13-cis-Retinoic acid","Lepr"
"443","13-cis-Retinoic acid","Rarb"
"444","13-cis-Retinoic acid","Nr1i2"
"445","13-cis-Retinoic acid","Rpsa"
"446","13-cis-Retinoic acid","Ret"
"447","13-cis-Retinoic acid","Adam15"
"448","13-cis-Retinoic acid","Ccr9"
"449","13-cis-Retinoic acid","Rxrg"
"450","13-cis-Retinoic acid","Tfrc"
"451","13-cis-Retinoic acid","Spn"
"452","13-cis-Retinoic acid","Gjb1"
"453","13-cis-Retinoic acid","Nr1i3"
"454","13-cis-Retinoic acid","Il6ra"
"455","13-cis-Retinoic acid","Cd40"
"456","13-cis-Retinoic acid","Rxrb"
"457","13-cis-Retinoic acid","Ar"
"458","13-cis-Retinoic acid","Abca1"
"459","13-cis-Retinoic acid","Rorb"
"460","13-cis-Retinoic acid","Thbd"
"461","13-cis-Retinoic acid","Cubn"
"462","13-cis-Retinoic acid","Nr0b1"
"463","13-cis-Retinoic acid","Trpc3"
"464","13-cis-Retinoic acid","Igfbp3"
"465","13-cis-Retinoic acid","Alk"
"466","13-cis-Retinoic acid","Nr2f2"
"467","13-cis-Retinoic acid","Rarg"
"468","13-cis-Retinoic acid","Nr1h3"
"469","13-cis-Retinoic acid","Rxra"
"470","13-cis-Retinoic acid","Nr6a1"
"471","13-cis-Retinoic acid","Itgam"
"472","13-cis-Retinoic acid","Nr1h4"
"473","13-cis-Retinoic acid","Vdr"
"474","9-cis-Retinoic acid","Rxrb"
"475","9-cis-Retinoic acid","Rarb"
"476","9-cis-Retinoic acid","Rxra"
"477","9-cis-Retinoic acid","Rara"
"478","9-cis-Retinoic acid","Rarg"
"479","9-cis-Retinoic acid","Rxrg"
"480","9-cis-Retinoic acid","Nr1h3"
"481","9-cis-Retinoic acid","Gprc5a"
"482","9-cis-Retinoic acid","Cd79a"
"483","9-cis-Retinoic acid","Cd38"
"484","9-cis-Retinoic acid","Hbegf"
"485","9-cis-Retinoic acid","Nr3c1"
"486","9-cis-Retinoic acid","Igfbp5"
"487","9-cis-Retinoic acid","Nr1h2"
"488","9-cis-Retinoic acid","Nr0b2"
"489","9-cis-Retinoic acid","Tlr2"
"490","9-cis-Retinoic acid","Thbs1"
"491","9-cis-Retinoic acid","Rora"
"492","9-cis-Retinoic acid","Scarb1"
"493","9-cis-Retinoic acid","Cdh1"
"494","9-cis-Retinoic acid","Bmpr1b"
"495","9-cis-Retinoic acid","Icam1"
"496","9-cis-Retinoic acid","Scarb2"
"497","9-cis-Retinoic acid","Ide"
"498","9-cis-Retinoic acid","Itgax"
"499","9-cis-Retinoic acid","Ncor1"
"500","9-cis-Retinoic acid","Egfr"
"501","9-cis-Retinoic acid","Ntrk2"
"502","9-cis-Retinoic acid","Cysltr2"
"503","9-cis-Retinoic acid","Gja1"
"504","9-cis-Retinoic acid","Gja6"
"505","9-cis-Retinoic acid","Pparg"
"506","9-cis-Retinoic acid","Kit"
"507","9-cis-Retinoic acid","Vcam1"
"508","9-cis-Retinoic acid","Ccr1"
"509","9-cis-Retinoic acid","Ccr1l1"
"510","9-cis-Retinoic acid","Tlr3"
"511","9-cis-Retinoic acid","Anpep"
"512","9-cis-Retinoic acid","P2ry1"
"513","9-cis-Retinoic acid","Cd36"
"514","9-cis-Retinoic acid","P2ry2"
"515","9-cis-Retinoic acid","Nr2f1"
"516","9-cis-Retinoic acid","Rorc"
"517","9-cis-Retinoic acid","Lepr"
"518","9-cis-Retinoic acid","Nr1i2"
"519","9-cis-Retinoic acid","Rpsa"
"520","9-cis-Retinoic acid","Ret"
"521","9-cis-Retinoic acid","Adam15"
"522","9-cis-Retinoic acid","Ccr9"
"523","9-cis-Retinoic acid","Tfrc"
"524","9-cis-Retinoic acid","Spn"
"525","9-cis-Retinoic acid","Gjb1"
"526","9-cis-Retinoic acid","Nr1i3"
"527","9-cis-Retinoic acid","Il6ra"
"528","9-cis-Retinoic acid","Cd40"
"529","9-cis-Retinoic acid","Ar"
"530","9-cis-Retinoic acid","Abca1"
"531","9-cis-Retinoic acid","Rorb"
"532","9-cis-Retinoic acid","Thbd"
"533","9-cis-Retinoic acid","Cubn"
"534","9-cis-Retinoic acid","Nr0b1"
"535","9-cis-Retinoic acid","Trpc3"
"536","9-cis-Retinoic acid","Igfbp3"
"537","9-cis-Retinoic acid","Alk"
"538","9-cis-Retinoic acid","Nr2f2"
"539","9-cis-Retinoic acid","Nr6a1"
"540","9-cis-Retinoic acid","Itgam"
"541","9-cis-Retinoic acid","Nr1h4"
"542","9-cis-Retinoic acid","Vdr"
"543","9-cis-Retinoic acid","Grin1"
"544","9-cis-Retinoic acid","Hnf4a"
"545","9-cis-Retinoic acid","Itgav"
"546","9-cis-Retinoic acid","Itgb1"
"547","9-cis-Retinoic acid","Ncoa3"
"548","9-cis-Retinoic acid","Nr4a1"
"549","9-cis-Retinoic acid","Thrb"
"550","all-trans-Retinoic acid","Rxra"
"551","all-trans-Retinoic acid","S1pr1"
"552","all-trans-Retinoic acid","Rarb"
"553","all-trans-Retinoic acid","Rara"
"554","all-trans-Retinoic acid","Rarg"
"555","all-trans-Retinoic acid","Rxrb"
"556","all-trans-Retinoic acid","Rxrg"
"557","all-trans-Retinoic acid","Rorb"
"558","all-trans-Retinoic acid","Ror1"
"559","all-trans-Retinoic acid","Ror2"
"560","all-trans-Retinoic acid","Rora"
"561","all-trans-Retinoic acid","Abcc4"
"562","all-trans-Retinoic acid","Abcc3"
"563","all-trans-Retinoic acid","Gprc5a"
"564","all-trans-Retinoic acid","Cd79a"
"565","all-trans-Retinoic acid","Cd38"
"566","all-trans-Retinoic acid","Hbegf"
"567","all-trans-Retinoic acid","Nr3c1"
"568","all-trans-Retinoic acid","Igfbp5"
"569","all-trans-Retinoic acid","Nr1h2"
"570","all-trans-Retinoic acid","Nr0b2"
"571","all-trans-Retinoic acid","Tlr2"
"572","all-trans-Retinoic acid","Thbs1"
"573","all-trans-Retinoic acid","Scarb1"
"574","all-trans-Retinoic acid","Cdh1"
"575","all-trans-Retinoic acid","Bmpr1b"
"576","all-trans-Retinoic acid","Icam1"
"577","all-trans-Retinoic acid","Scarb2"
"578","all-trans-Retinoic acid","Ide"
"579","all-trans-Retinoic acid","Itgax"
"580","all-trans-Retinoic acid","Ncor1"
"581","all-trans-Retinoic acid","Egfr"
"582","all-trans-Retinoic acid","Ntrk2"
"583","all-trans-Retinoic acid","Cysltr2"
"584","all-trans-Retinoic acid","Gja1"
"585","all-trans-Retinoic acid","Gja6"
"586","all-trans-Retinoic acid","Pparg"
"587","all-trans-Retinoic acid","Kit"
"588","all-trans-Retinoic acid","Vcam1"
"589","all-trans-Retinoic acid","Ccr1"
"590","all-trans-Retinoic acid","Ccr1l1"
"591","all-trans-Retinoic acid","Tlr3"
"592","all-trans-Retinoic acid","Anpep"
"593","all-trans-Retinoic acid","P2ry1"
"594","all-trans-Retinoic acid","Cd36"
"595","all-trans-Retinoic acid","P2ry2"
"596","all-trans-Retinoic acid","Nr2f1"
"597","all-trans-Retinoic acid","Rorc"
"598","all-trans-Retinoic acid","Lepr"
"599","all-trans-Retinoic acid","Nr1i2"
"600","all-trans-Retinoic acid","Rpsa"
"601","all-trans-Retinoic acid","Ret"
"602","all-trans-Retinoic acid","Adam15"
"603","all-trans-Retinoic acid","Ccr9"
"604","all-trans-Retinoic acid","Tfrc"
"605","all-trans-Retinoic acid","Spn"
"606","all-trans-Retinoic acid","Gjb1"
"607","all-trans-Retinoic acid","Nr1i3"
"608","all-trans-Retinoic acid","Il6ra"
"609","all-trans-Retinoic acid","Cd40"
"610","all-trans-Retinoic acid","Ar"
"611","all-trans-Retinoic acid","Abca1"
"612","all-trans-Retinoic acid","Thbd"
"613","all-trans-Retinoic acid","Cubn"
"614","all-trans-Retinoic acid","Nr0b1"
"615","all-trans-Retinoic acid","Trpc3"
"616","all-trans-Retinoic acid","Igfbp3"
"617","all-trans-Retinoic acid","Alk"
"618","all-trans-Retinoic acid","Nr2f2"
"619","all-trans-Retinoic acid","Nr1h3"
"620","all-trans-Retinoic acid","Nr6a1"
"621","all-trans-Retinoic acid","Itgam"
"622","all-trans-Retinoic acid","Nr1h4"
"623","all-trans-Retinoic acid","Vdr"
"624","all-trans-Retinoic acid","Grin1"
"625","all-trans-Retinoic acid","Hnf4a"
"626","all-trans-Retinoic acid","Itgav"
"627","all-trans-Retinoic acid","Itgb1"
"628","all-trans-Retinoic acid","Ncoa3"
"629","all-trans-Retinoic acid","Nr4a1"
"630","all-trans-Retinoic acid","Thrb"
"631","Acetic acid,Acetylglycine","Ffar2"
"632","Acetic acid,Acetylglycine","Ffar3"
"633","Acetic acid,Acetylglycine","Ffar3"
"634","Acetic acid,Acetylglycine","M6pr"
"635","Acetic acid,Acetylglycine","Rtn4r"
"636","Acetic acid,Acetylglycine","Esr1"
"637","Acetic acid,Acetylglycine","Il2rb"
"638","Acetic acid,Acetylglycine","Bdkrb1"
"639","Acetic acid,Acetylglycine","Prokr2"
"640","Acetic acid,Acetylglycine","Gnrhr"
"641","Acetic acid,Acetylglycine","H2-Oa"
"642","Acetic acid,Acetylglycine","Kiss1r"
"643","Acetic acid,Acetylglycine","Ghsr"
"644","Acetic acid,Acetylglycine","Mchr1"
"645","Acetic acid,Acetylglycine","Nr1h2"
"646","Acetic acid,Acetylglycine","Nmur2"
"647","Acetic acid,Acetylglycine","Nmbr"
"648","Acetic acid,Acetylglycine","Htr2b"
"649","Acetic acid,Acetylglycine","Cdh1"
"650","Acetic acid,Acetylglycine","Ppara"
"651","Acetic acid,Acetylglycine","Grik5"
"652","Acetic acid,Acetylglycine","Tyro3"
"653","Acetic acid,Acetylglycine","Gria2"
"654","Acetic acid,Acetylglycine","Ide"
"655","Acetic acid,Acetylglycine","Gpr65"
"656","Acetic acid,Acetylglycine","Il22ra1"
"657","Acetic acid,Acetylglycine","Agtr1a"
"658","Acetic acid,Acetylglycine","Agtr1b"
"659","Acetic acid,Acetylglycine","Htr2c"
"660","Acetic acid,Acetylglycine","Npffr1"
"661","Acetic acid,Acetylglycine","App"
"662","Acetic acid,Acetylglycine","Ptger1"
"663","Acetic acid,Acetylglycine","Cckar"
"664","Acetic acid,Acetylglycine","Mst1r"
"665","Acetic acid,Acetylglycine","Tnfrsf21"
"666","Acetic acid,Acetylglycine","Avpr1a"
"667","Acetic acid,Acetylglycine","Anpep"
"668","Acetic acid,Acetylglycine","Antxr1"
"669","Acetic acid,Acetylglycine","Ntsr2"
"670","Acetic acid,Acetylglycine","Prokr1"
"671","Acetic acid,Acetylglycine","Nmur1"
"672","Acetic acid,Acetylglycine","Il7r"
"673","Acetic acid,Acetylglycine","Antxr2"
"674","Acetic acid,Acetylglycine","Adra1b"
